Brewery,1st Most Common Beer Style,2nd Most Common Beer Style,3rd Most Common Beer Style,4th Most Common Beer Style,5th Most Common Beer Style,6th Most Common Beer Style,7th Most Common Beer Style,8th Most Common Beer Style,9th Most Common Beer Style,10th Most Common Beer Style,Clusters
Armored Cow Brewing Co.,Gluten-Free,Blonde Ale,Lager - American Light,Red Ale - American Amber / Red,IPA - American,Sour - Berliner Weisse,Sour - Fruited,Bock - Doppelbock,Hefeweizen,Pale Ale - New England,Cluster 2
Birdsong Brewing Co.,IPA - American,Farmhouse Ale - Saison,Pale Ale - American,Sour - Other,Stout - Other,Sour - Fruited,IPA - Imperial / Double,Sour - Gose,Stout - American,Blonde Ale,Cluster 1
Blue Blaze Brewing Co,IPA - American,Blonde Ale,Stout - Milk / Sweet,Pilsner - Other,Porter - Other,Fruit Beer,Pale Ale - American,Hefeweizen,Sour - Gose,Scotch Ale / Wee Heavy,Cluster 2
Catawba Brewing Charlotte,IPA - American,Sour - Fruited,Farmhouse Ale - Saison,Sour - Other,IPA - New England,Sour - Gose,Pale Ale - American,Blonde Ale,IPA - Session / India Session Ale,IPA - Imperial / Double,Cluster 1
Devil’s Logic Brewing,IPA - New England,IPA - American,Sour - Fruited Gose,Pilsner - German,Extra Special / Strong Bitter,Pale Ale - American,Stout - Other,Cream Ale,Pale Ale - New England,IPA - Imperial / Double New England,Cluster 4
Divine Barrel Brewing,Sour - Fruited Berliner Weisse,IPA - American,Farmhouse Ale - Saison,IPA - New England,Stout - Imperial / Double,Pale Ale - American,IPA - Imperial / Double,Sour - Berliner Weisse,Sour - Gose,Sour - Fruited,Cluster 4
Edge City Brewery,IPA - New England,Sour - Other,Sour - Fruited,IPA - Imperial / Double,IPA - American,Sour - Gose,IPA - Session / India Session Ale,IPA - Sour,Sour - Berliner Weisse,Kellerbier / Zwickelbier,Cluster 4
Fonta Flora Brewery - Optimist Hall,Farmhouse Ale - Saison,Stout - Imperial / Double,American Wild Ale,IPA - American,Kvass,IPA - Imperial / Double,Pale Ale - American,Sour - Fruited Gose,Hard Seltzer,Lager - American,Cluster 1
Free Range Brewing,Farmhouse Ale - Saison,IPA - American,Pale Ale - American,American Wild Ale,Gruit / Ancient Herbed Ale,Grisette,California Common,IPA - Imperial / Double,IPA - New England,IPA - Session / India Session Ale,Cluster 1
Heist Brewery,IPA - New England,Sour - Fruited Berliner Weisse,IPA - American,Stout - Imperial / Double,IPA - Imperial / Double New England,Stout - Russian Imperial,IPA - Imperial / Double,Sour - Fruited,Farmhouse Ale - Saison,Hard Seltzer,Cluster 4
Legion Brewing,Farmhouse Ale - Saison,IPA - American,IPA - Imperial / Double,IPA - New England,Sour - Gose,Sour - Other,Sour - Berliner Weisse,Pale Ale - American,Stout - Oatmeal,Blonde Ale,Cluster 1
Lenny Boy Brewing Co.,Sour - Other,Sour - Fruited,American Wild Ale,IPA - American,Kombucha,Pale Ale - American,Blonde Ale,Sour - Berliner Weisse,Porter - American,Belgian Blonde,Cluster 1
Lower Left Brewing Co.,IPA - New England,IPA - American,Sour - Fruited,IPA - Milkshake,Belgian Dubbel,IPA - Imperial / Double New England,Pale Ale - American,Winter Warmer,Stout - Coffee,IPA - Session / India Session Ale,Cluster 4
NoDa Brewing Company North End,IPA - American,Farmhouse Ale - Saison,IPA - Imperial / Double,Pale Ale - American,Blonde Ale,Sour - Other,IPA - New England,IPA - Session / India Session Ale,Sour - Fruited,Porter - American,Cluster 1
Olde Mecklenburg Brewery,Porter - Baltic,Altbier,Bock - Single / Traditional,Lager - Munich Dunkel,Bock - Hell / Maibock / Lentebock,Märzen,Dunkelweizen,Pilsner - German,Lager - Helles,Shandy / Radler,Cluster 3
Petty Thieves Brewing Company,Sour - Fruited,IPA - New England,IPA - American,Farmhouse Ale - Saison,Stout - Imperial / Double,IPA - Sour,Pale Ale - American,IPA - Imperial / Double,Kölsch,Pale Ale - New England,Cluster 4
Pilot Brewing,IPA - American,Farmhouse Ale - Saison,Brown Ale - American,Stout - Coffee,Pale Ale - American,Stout - Imperial / Double,Wheat Beer - Witbier,Blonde Ale,Extra Special / Strong Bitter,Fruit Beer,Cluster 1
Protagonist,IPA - American,IPA - New England,Brett Beer,Farmhouse Ale - Saison,Blonde Ale,Stout - Imperial / Double,Pale Ale - New England,English Mild Ale,Pilsner - Other,IPA - Session / India Session Ale,Cluster 1
Resident Culture Brewing Co.,IPA - New England,IPA - American,Sour - Fruited,Stout - Imperial / Double,IPA - Imperial / Double New England,Sour - Other,IPA - Imperial / Double,Sour - Fruited Berliner Weisse,Farmhouse Ale - Saison,Pale Ale - American,Cluster 4
Salty Parrot Brewing Company,Other,Porter - American,Sour - Fruited,Burton Ale,Pale Ale - American,Lager - American,Kentucky Common,Stout - Russian Imperial,Brown Ale - English,Sour - Berliner Weisse,Cluster 5
Salud Cerveceria,Sour - Fruited,IPA - American,Sour - Fruited Berliner Weisse,Farmhouse Ale - Saison,IPA - Imperial / Double,Pale Ale - American,Blonde Ale,Stout - Imperial / Double,Sour - Gose,IPA - Imperial / Double Milkshake,Cluster 4
Sugar Creek Brewing Company,Farmhouse Ale - Saison,Farmhouse Ale - Bière de Garde,Belgian Dubbel,Belgian Tripel,Belgian Strong Dark Ale,Wheat Beer - Witbier,Sour - Fruited,Fruit Beer,IPA - Session / India Session Ale,IPA - American,Cluster 1
Sycamore Brewing,IPA - American,Pale Ale - American,Blonde Ale,IPA - Imperial / Double,Farmhouse Ale - Saison,Fruit Beer,IPA - Session / India Session Ale,Wheat Beer - Witbier,Stout - Imperial / Double,Stout - American,Cluster 1
The Suffolk Punch,Stout - Imperial / Double,IPA - American,Pale Ale - American,Farmhouse Ale - Saison,IPA - New England,Sour - Gose,Table Beer,IPA - Session / India Session Ale,Lager - Helles,English Bitter,Cluster 1
Town Brewing Company,Hard Seltzer,IPA - New England,IPA - Imperial / Double New England,Sour - Fruited Gose,Blonde Ale,Sour - Fruited,Sour - Berliner Weisse,Golden Ale,Pilsner - Other,Pale Ale - American,Cluster 4
Triple C Brewing Company,IPA - American,Stout - Imperial / Double,Pale Ale - American,IPA - New England,IPA - Imperial / Double,Stout - American,Sour - Berliner Weisse,American Wild Ale,Farmhouse Ale - Saison,IPA - Session / India Session Ale,Cluster 1
Unknown Brewing Co.,IPA - American,Sour - Other,Farmhouse Ale - Saison,Pale Ale - American,Red Ale - American Amber / Red,Wheat Beer - American Pale Wheat,IPA - New England,Stout - Other,IPA - Session / India Session Ale,Spiced / Herbed Beer,Cluster 1
Wooden Robot Brewery,IPA - American,Farmhouse Ale - Saison,Sour - Other,IPA - New England,Sour - Fruited,IPA - Imperial / Double,Pale Ale - American,Blonde Ale,Pilsner - Other,Sour - Gose,Cluster 1
